No.,Ticker,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EPS This Y,EPS Next Y,EPS Past 5Y,EPS Next 5Y,Sales Past 5Y,Price,Change %,Volume,Scraped_At
1,NNVS,295.18B,24.33,16.47,2.58,5.39,7.11,38.38,17.60,-2.29%,11.56%,15.24%,6.39%,2.29%,161.25,6.04%,4334520,2026-09-01 23:28:03
2,PPCG,30.97B,10.26,7.82,0.84,1.20,0.96,25.36,-,10.28%,8.63%,-,9.30%,6.19%,14.06,5.95%,144611570,2026-09-01 23:28:03
3,EEIX,22.63B,6.06,9.03,5.51,1.16,1.30,93.5,-,-6.36%,6.17%,42.36%,1.64%,7.31%,58.8,8.93%,24600859,2026-09-01 23:28:03
4,CCNH,15.47B,50.08,19.23,0.98,0.85,1.99,6.28,25.32,-19.37%,46.58%,-,19.67%,-7.02%,12.5,5.66%,30934273,2026-09-01 23:28:03
5,MMMED,6.31B,-,33.84,-,-,1.74,21.17,-,151.83%,-0.90%,-,-,-,22.42,10.66%,6073269,2026-09-01 23:28:03
6,FFRVO,5.82B,-,-,-,-,2.08,2.76,-,-,-,-,-,-,19.75,28.41%,35218776,2026-09-01 23:28:03
7,CCRK,4.70B,9.31,24.86,0.77,2.50,1.82,104.51,-,-28.33%,66.50%,-,32.24%,17.58%,16.02,11.02%,11245338,2026-09-01 23:28:03
8,SSEB,3.95B,6.23,-,-,0.38,0.72,3.23,-,-,-,16.12%,-,6.46%,4123.38,5.45%,27948,2026-09-01 23:28:03
9,SSGRY,1.91B,-,26.92,1.95,0.57,1.14,8.82,10.19,-4.20%,20.46%,28.11%,13.84%,12.21%,14.6,5.11%,3962459,2026-09-01 23:28:03
10,NNVAX,1.67B,-,-,-,4.03,-,2.32,-,-128.25%,79.60%,-,-,18.76%,10.12,8.00%,10037246,2026-09-01 23:28:03
11,MMGRT,1.48B,6466.47,-,-,1045.68,741.94,14848.6,-,-,-,-,-,-,107.99,10.12%,37033,2026-09-01 23:28:03
12,CCTMX,799.69M,-,-,-,43.70,2.65,2.41,-,-154.28%,-20.00%,27.00%,-,-5.36%,3.67,9.23%,8805754,2026-09-01 23:28:03
13,CCBIO,665.99M,-,-,-,56.06,3.12,3.88,-,78.41%,-5.24%,33.26%,37.95%,1.31%,17.93,8.01%,787960,2026-09-01 23:28:03
14,LLMB,534.12M,17.91,10.50,8.27,0.78,2.63,30.37,10.53,-12.29%,7.83%,35.05%,1.27%,2.62%,44.79,8.66%,885353,2026-09-01 23:28:03
15,MMOVE,354.16M,-,-,-,79.95,-,16.32,-,-,-,26.66%,-,-,12.81,16.99%,810054,2026-09-01 23:28:03
